ナンバリング,科目名,単位,配当年次,授業形態,備考,大分類,中分類,小分類,必修選択,履修済み,危険
HST02670,日本美術工芸史1,2,2-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
HST02680,日本美術工芸史2,2,2-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
HST02630,日本建築史1,2,2-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
HST02640,日本建築史2,2,2-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
FOL02630,民俗宗教論1,2,2-4,講義,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
FOL02640,民俗宗教論2,2,2-4,講義,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
FOL02610,日本民俗史1,2,2-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
FOL02620,日本民俗史2,2,2-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
HST02610,日本服飾文化史1,2,2-4,講義,◆,専門科目,全学対象専門科目,人文学部提供科目,,False,False
HST02620,日本服飾文化史2,2,2-4,講義,◆,専門科目,全学対象専門科目,人文学部提供科目,,False,False
JPS02630,日本の身体文化1,2,2-4,講義,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
JPS02640,日本の身体文化2,2,2-4,講義,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
AST02610,琉球文化論1,2,2-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
AST02620,琉球文化論2,2,2-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
PHI02610,日本思想史1,2,2-4,講義,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
PHI02620,日本思想史2,2,2-4,講義,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
REL02610,日本の仏教1,2,3･4,講義,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
REL02620,日本の仏教2,2,3･4,講義,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
HST02650,日本文化史1,2,2-4,講義,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
HST02660,日本文化史2,2,2-4,講義,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
LIT02610,日本古典文学史1,2,2-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
LIT02620,日本古典文学史2,2,2-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
OTH02020,現代スポーツ論,2,1-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
OTH02070,スポーツ身体論,2,1-4,講義,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
OTH02030,スポーツイメージ文化論,2,1-4,講義,* ◆,専門科目,全学対象専門科目,人文学部提供科目,,False,False
OTH02050,生物多様性の科学,2,1-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
OTH02060,生物学のフロンティア,2,1-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
ENV12310,地球と宇宙のフロンティア,2,1-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
OTH02010,宇宙観の歴史,2,1-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
ENV02320,都市環境論,2,1-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
ENV02310,ヨーロッパ環境論,2,3･4,講義,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
LIT02000,世界の中の日本文学,2,2-4,講義,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
JPS02000,日本の表象文化,2,2-4,講義,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
GLS02000,世界の言語と社会,2,1-4,講義,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
GLS21000,GHゼミナール1［国際日本学］,2,3･4,演習,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
GLS21010,GHゼミナール2［国際日本学］,2,3･4,演習,*,専門科目,全学対象専門科目,人文学部提供科目,,False,False
LED02610,日本語の教授法1,2,1-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
LED02620,日本語の教授法2,2,1-4,講義,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
LED21610,日本語の教授法演習1,2,2-4,演習,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
LED21620,日本語の教授法演習2,2,2-4,演習,,専門科目,全学対象専門科目,人文学部提供科目,,False,False
HST12010,Introduction to Global History 1,2,1-4,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
HST12020,Introduction to Global History 2,2,1-4,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
IRL12010,Transnational Issues 1,2,1-4,講義,◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
IRL12020,Transnational Issues 2,2,1-4,講義,◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
IRL12030,Understanding Foreign Affairs and the Global Economy,2,1-4,講義,◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
GLS16010,Global Service Learning A1,1,1-4,実習,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
GLS16020,Global Service Learning A2,1,1-4,実習,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
GLS16030,Global Service Learning B1,2,1-4,実習,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
GLS16040,Global Service Learning B2,2,1-4,実習,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
GLS16050,Global Service Learning C1,4,1-4,実習,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
GLS16060,Global Service Learning C2,4,1-4,実習,◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
ECO22030,Introduction to Economics（a）,4,2-4,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
POL12030,Foundations of Political Science,2,1-4,講義,◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
MAN12010,Introduction to Management,2,1-4,講義,◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
ECO22230,Trade Economics,2,2-4,講義,* ◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
ECO22240,International Finance,2,2-4,講義,* ◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
MAN22010,Industrial Organization,2,2-4,講義,◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
MAN22060,Business and Society,2,2-4,講義,◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
GLS12010,Survey of Global Studies 1,2,1,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
GLS12020,Survey of Global Studies 2,2,1,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
GLS12030,Survey of Transcultural Studies 1,2,1,講義,◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
GLS12040,Survey of Transcultural Studies 2,2,1,講義,◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
IRL22010,Topics in Foreign Policy and Diplomacy 1,2,2-4,講義,◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
IRL22020,Topics in Foreign Policy and Diplomacy 2,2,2-4,講義,◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
GLS22010,Survey of Futures Studies 1,2,2-4,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
GLS22020,Survey of Futures Studies 2,2,2-4,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
POL32060,Survey of Comparative Politics 1,2,2-4,講義,* ◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
POL32070,Survey of Comparative Politics 2,2,2-4,講義,* ◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
GLS32010,Global Civics 1,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
GLS32020,Global Civics 2,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
POL32080,Survey of Political Ideas 1,2,2-4,講義,* ◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
POL32090,Survey of Political Ideas 2,2,2-4,講義,* ◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
IRL32010,Peace Studies 1,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
IRL32020,Peace Studies 2,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
COM22010,Communication Studies 1,2,2-4,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
COM22020,Communication Studies 2,2,2-4,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
LNG22010,Second Language Studies 1,2,2-4,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
LNG22020,Second Language Studies 2,2,2-4,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
LNG32010,World Englishes 1,2,2-4,講義,* ◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
LNG32020,World Englishes 2,2,2-4,講義,* ◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
COM32010,Media Communications 1,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
COM32020,Media Communications 2,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
LNG32030,Language & Communication Barriers 1,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
LNG32040,Language & Communication Barriers 2,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
COM32030,Translation & Interpretation Studies 1,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
COM32040,Translation & Interpretation Studies 2,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
CST22010,Cultural Representations 1,2,2-4,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
CST22020,Cultural Representations 2,2,2-4,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
LIT22010,Global Literatures in English 1,2,2-4,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
LIT22020,Global Literatures in English 2,2,2-4,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
JPS22010,Japanese Studies 1,2,2-4,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
JPS22020,Japanese Studies 2,2,2-4,講義,※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
JPS32010,Topics in Japanese Culture 1,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
JPS32020,Topics in Japanese Culture 2,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
HST32010,Japanese History in Global Perspective 1,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
HST32020,Japanese History in Global Perspective 2,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
HST32030,Transnational Cultures 1,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
HST32040,Transnational Cultures 2,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
LIT32010,Diversity in Stories and Societies 1,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
LIT32020,Diversity in Stories and Societies 2,2,2-4,講義,* ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
SEM31040,副専攻ゼミナール1,2,3･4,演習,◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
SEM31050,副専攻ゼミナール2,2,3･4,演習,◆ ※,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
JPS32040,Japan and International Society,4,2-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32160,Studies of Asian Economies,2,2-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32150,Politics in Asia,2,2-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
JPS32010,Japanese History,4,2-4,講義,*,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
JPS32030,Survey of Japanese Literature,4,2-4,講義,*,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
JPS32020,Japanese Culture and Society,4,2-4,講義,*,専門科目,全学対象専門科目,国際教養学部提供科目,,False,False
AST32170,Traditional Arts of Asia,2,2-4,講義,*,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32180,Modern Arts of Asia,2,2-4,講義,*,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
JPS31010,Seminar in Entrepreneurship,2,2-4,演習,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32040,Comparative Perspectives on Asian Societies,4,2-4,講義,*,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32050,Comparative Cultures and Histories,4,2-4,講義,*,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32070,Asian Philosophies & Thought,4,2-4,講義,*,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32080,Survey in Comparative Literatures,2,2-4,講義,*,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32060,Globalization and Asia,4,2-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32140,Environmental Issues in a Global Context,4,2-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32030,Topics in Global Business,4,2-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32020,Topics in Technology & Society,2,2-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST31020,Seminar in Visual Cultures,2,2-4,演習,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32010,Special Topics in Global Asia,2,2-4,講義,*,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32090,Survey of Global Media & Communication,2,2-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32100,Topics in Gender & Sexuality,4,2-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32110,Survey of Identities in Asia,4,2-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST31010,Seminar in Global Asia Issues,2,2-4,演習,*,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32120,Global Asia in the 21st Century,4,2-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST32130,Survey of Global Issues,2,2-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
JPS31020,Fieldwork in Japan,2,2-4,演習,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
IRL01010,留学入門ゼミナール,2,1-4,演習,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AMS02011,アメリカの社会と文化1,2,1-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AMS02012,アメリカの社会と文化2,2,1-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
BRS02011,イギリスの社会と文化1,2,1-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
BRS02012,イギリスの社会と文化2,2,1-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
GES22310,ドイツ語圏の社会と文化1,2,2-4,講義,ドイツ語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
GES22320,ドイツ語圏の社会と文化2,2,2-4,講義,ドイツ語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
FRS22320,フランスの歴史と社会1,2,2-4,講義,フランス語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
FRS22330,フランスの歴史と社会2,2,2-4,講義,フランス語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
JPS02071,日本の社会と文化1,2,1-4,講義,*,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
JPS02072,日本の社会と文化2,2,1-4,講義,*,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST02171,中国の社会と文化1,2,2-4,講義,* 中国語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST02172,中国の社会と文化2,2,2-4,講義,* 中国語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST02181,韓国･朝鮮の社会と文化1,2,2-4,講義,* 韓国･朝鮮語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
AST02182,韓国･朝鮮の社会と文化2,2,2-4,講義,* 韓国･朝鮮語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
IRL02011,現代世界の諸問題1,2,1-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
IRL02012,現代世界の諸問題2,2,1-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
LED06011,グローバル･コミュニケーション1,1,1-4,実習,*,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
LED06012,グローバル･コミュニケーション2,1,1-4,実習,*,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
LED06013,イングリッシュ･サマースクール1,1,1-4,実習,◆,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
LED06014,イングリッシュ･サマースクール2,1,1-4,実習,◆,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
LED02011,インターカルチュラルスキル養成講座1,2,1-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
LED02012,インターカルチュラルスキル養成講座2,2,1-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
IRL02021,グローバル･リーダーシップ養成講座1,2,1-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
IRL02022,グローバル･リーダーシップ養成講座2,2,1-4,講義,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
LED06041,留学のための英語講座A1（TOEFL),1,1-4,実習,◆,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
LED06042,留学のための英語講座A2（TOEFL),1,1-4,実習,◆,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
LED06051,留学のための英語講座B1（IELTS),1,1-4,実習,,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
LED06052,留学のための英語講座B2（IELTS),1,1-4,実習,◆,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
GES26410,ドイツ語論述実習1,1,2-4,実習,ドイツ語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
GES26420,ドイツ語論述実習2,1,2-4,実習,ドイツ語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
FRS26410,フランス語論述実習1,1,2-4,実習,フランス語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
FRS26420,フランス語論述実習2,1,2-4,実習,フランス語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
LED06061,中国語論述実習1,1,2-4,実習,* 中国語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
LED06062,中国語論述実習2,1,2-4,実習,* 中国語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
LED06071,韓国･朝鮮語論述実習1,1,2-4,実習,* 韓国･朝鮮語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
LED06072,韓国･朝鮮語論述実習2,1,2-4,実習,* 韓国･朝鮮語による授業,専門科目,全学対象専門科目,留学・国際交流関連科目,,False,False
EDU12010,教職入門,2,1-4,講義,,専門科目,全学対象専門科目,教職課程関連科目,,False,False
EDU12020,教育基礎論,2,1-4,講義,,専門科目,全学対象専門科目,教職課程関連科目,,False,False
EDU22010,教育心理学1,2,2-4,講義,履修条件：「教職入門」又は「教 育基礎論」を修得済であること,専門科目,全学対象専門科目,教職課程関連科目,,False,False
EDU32040,教育方法論,2,3-4,講義,,専門科目,全学対象専門科目,教職課程関連科目,,False,False
CTP02010,生涯学習概論,2,1-4,講義,,専門科目,全学対象専門科目,教職課程関連科目,,False,False
CTP02020,博物館概論,2,1-4,講義,,専門科目,全学対象専門科目,教職課程関連科目,,False,False
CTP02060,博物館展示論,2,1-4,講義,,専門科目,全学対象専門科目,教職課程関連科目,,False,False
CTP02070,博物館情報･メディア論,2,1-4,講義,,専門科目,全学対象専門科目,教職課程関連科目,,False,False
TCP12010,日本史概説,2,1-4,講義,,専門科目,全学対象専門科目,学芸員課程関連科目,,False,False
TCP12020,外国史概説,2,1-4,講義,,専門科目,全学対象専門科目,学芸員課程関連科目,,False,False
TCP12030,法律学概説（国際法を含む）,2,1-4,講義,,専門科目,全学対象専門科目,学芸員課程関連科目,,False,False
TCP12040,政治学概説（国際政治を含む）,2,1-4,講義,,専門科目,全学対象専門科目,学芸員課程関連科目,,False,False
TCP12050,経済学概説（国際経済を含む）,2,1-4,講義,,専門科目,全学対象専門科目,学芸員課程関連科目,,False,False
TCP12070,地誌概説,2,1-4,講義,,専門科目,全学対象専門科目,学芸員課程関連科目,,False,False
TCP12080,人文地理学概説,2,1-4,講義,,専門科目,全学対象専門科目,学芸員課程関連科目,,False,False
TCP12090,自然地理学概説,2,1-4,講義,,専門科目,全学対象専門科目,学芸員課程関連科目,,False,False
TCP12100,倫理学概説,2,1-4,講義,,専門科目,全学対象専門科目,学芸員課程関連科目,,False,False
TCP12110,宗教学概説,2,1-4,講義,,専門科目,全学対象専門科目,学芸員課程関連科目,,False,False
TCP12120,哲学概説,2,1-4,講義,,専門科目,全学対象専門科目,学芸員課程関連科目,,False,False
TCP12130,心理学概説,2,1-4,講義,,専門科目,全学対象専門科目,学芸員課程関連科目,,False,False

##CREDITS##
name,level,required,earned,enrolled,total
合計,0,124,80,,0
総合,1,20,18,,0
総合(A),2,2,0,,0
総合(B),2,2,4,,0
総合(C),2,2,8,,0
総合(D),2,2,2,,0
総合(E),2,2,2,,0
総合(F),2,2,2,,0
外国語,1,8,8,,0
必修,2,6,6,,0
必外1年,3,,4,,0
必外2年,3,,2,,0
選択,2,2,2,,0
選外,3,,2,,0
専門,1,96,54,,0
ゼミ,2,20,8,,0
理論,2,,8,,0
理論必修,3,4,4,,0
理論選択,3,,4,,0
方法,2,,18,,0
方法必修,3,6,6,,0
方法選択,3,6,12,,0
展開,2,28,18,,0
ﾒﾃﾞｨｺﾐ,3,,8,,0
パブコミ,3,,6,,0
ﾒﾃﾞｨﾌﾟﾛ,3,,4,,0
学部共,2,,2,,0
全学専,2,,0,,0
教職概,2,,0,,0
